date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:32:33	199/199	---M-Z	200	added ('OK')	text/plain	date:Fri,%2027%20Jun%202025%2009:32:32%20GMT	https://thetuscanpaw.com/robots.txt		(from )
11:32:38	187896/187896	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Jun%202025%2009:32:38%20GMT	https://thetuscanpaw.com/	/Users/brunovera/Desktop/TheTuscanPaw/thetuscanpaw.com/index.html	(from )
11:32:38	25894/25894	---M-Z	200	added ('OK')	text/css	etag:%226526-637adffac70c8-gzip%22	https://thetuscanpaw.com/wp-content/uploads/blocksy/css/global.css?ver=15862	/Users/brunovera/Desktop/TheTuscanPaw/thetuscanpaw.com/wp-content/uploads/blocksy/css/global5df7.css	(from https://thetuscanpaw.com/)
11:32:39	1410/1410	---M-Z	200	added ('OK')	text/css	etag:%22582-63835c951136f-gzip%22	https://thetuscanpaw.com/wp-content/plugins/woocommerce-subscriptions/build/index.css?ver=8.3.0	/Users/brunovera/Desktop/TheTuscanPaw/thetuscanpaw.com/wp-content/plugins/woocommerce-subscriptions/build/index9662.css	(from https://thetuscanpaw.com/)
11:32:40	2279/2279	---M-Z	200	added ('OK')	text/css	etag:%228e7-6384289fd0b24-gzip%22	https://thetuscanpaw.com/wp-content/plugins/woocommerce/assets/css/brands.css?ver=9.9.5	/Users/brunovera/Desktop/TheTuscanPaw/thetuscanpaw.com/wp-content/plugins/woocommerce/assets/css/brandsdaac.css	(from https://thetuscanpaw.com/)
11:32:41	719/719	---M-Z	200	added ('OK')	application/rss+xml	etag:%228937670d6367039a33613482d9692e1a-gzip%22	https://thetuscanpaw.com/comments/feed/	/Users/brunovera/Desktop/TheTuscanPaw/thetuscanpaw.com/comments/feed/index.html	(from https://thetuscanpaw.com/)
11:32:41	11781/11781	---M-Z	200	added ('OK')	application/rss+xml	etag:%22c60912a378f4b0ad6f1aa76339df744e-gzip%22	https://thetuscanpaw.com/feed/	/Users/brunovera/Desktop/TheTuscanPaw/thetuscanpaw.com/feed/index.html	(from https://thetuscanpaw.com/)
11:32:41	884/884	---M-Z	200	added ('OK')	text/css	etag:%22374-637adfe72ef9b-gzip%22	https://thetuscanpaw.com/wp-content/themes/blocksy/style.css?ver=6.8.1	/Users/brunovera/Desktop/TheTuscanPaw/thetuscanpaw.com/wp-content/themes/blocksy/style0899.css	(from https://thetuscanpaw.com/)
11:32:42	103373/103373	---M-Z	200	added ('OK')	text/css	etag:%22193cd-637adfe55e1eb-gzip%22	https://thetuscanpaw.com/wp-content/themes/blocksy/static/bundle/main.min.css?ver=2.1.0	/Users/brunovera/Desktop/TheTuscanPaw/thetuscanpaw.com/wp-content/themes/blocksy/static/bundle/main.min3c94.css	(from https://thetuscanpaw.com/)
11:32:43	66117/66117	---M-Z	200	added ('OK')	text/css	etag:%2210245-637adfe56bcd3-gzip%22	https://thetuscanpaw.com/wp-content/themes/blocksy/static/bundle/woocommerce.min.css?ver=2.1.0	/Users/brunovera/Desktop/TheTuscanPaw/thetuscanpaw.com/wp-content/themes/blocksy/static/bundle/woocommerce.min3c94.css	(from https://thetuscanpaw.com/)
